info_id,name,location,url,address,phone_no
1,Adekunle Ajasin University,Akungba-Akoko,https://aaua.edu.ng/,Adekunle Ajasin University P. M. B. 001 Akungba-Akoko Ondo State Nigeria.,+234-705-7890597 +234-816-1651123 +234-708-9105452
2,Afe Babalola University,Ado Ekiti,www.abuad.edu.ng,Olusegun Obasanjo Way 360102 Ado Ekiti,+234 812 - 777 - 2121 +234 803 - 350 - 9150 +234 803 - 852 - 1163 +234 803 - 440 - 2771
3,Caritas University,Enugu,https://www.caritasuni.edu.ng/,Caritas University Amorji-Nike Enugu,08063589115 07085308771 07014431183 0807834681
4,Cross River University of Technology,Calabar,https://www.crutech.edu.ng/,CRUTECH.P.M.B 1123 Calabar. Cross River State. Nigeria.,08052129091
5,Enugu State University of Science and Technology,Enugu,https://www.esut.edu.ng,Enugu State University of Science and Technology (ESUT) PMB 01660. Agbani Enugu State Nigeria.,
6,Federal University,Birnin Kebbi,https://www.fubk.edu.ng,Federal University Birnin Kebbi Along Kalgo Bunza Road PMB 1157 Kalgo Birnin Kebbi Nigeria.,+234-801-123-5678
7,Federal University Gashua,Yobe,,,
8,Federal University Gusau,Zamfara,https://www.fugusau.edu.ng/,Federal University Gusau P.M.B. 1001 Zaria Road Gusau,+2348069581312 +2348038327208
9,Federal University of Dutse ,Dutse ,https://fud.edu.ng/,Ibrahim Aliyu Way Bye-Pass Dutse Nigeria.,
10,Federal University of Petroleum Resource,Effurun Delta ,https://www.fupre.edu.ng, P.M.B 1221 Effurun Delta State.,
11,Federal University of Technology ,Minna,www.futminna.edu.ng, Main Campus Gidan Kwanu P.M.B 65 Minna Niger State,+234(0) 703 586 2582
12,Federal University of Technology ,Owerri,http://www.futo.edu.ng/, Federal University of Technology Owerri Imo State Nigeria PMB 1526,
13,Free University of Nigeria (FUN),Lagos,,,
14,Gombe State University,Gombe,http://gsu.edu.ng/,Gombe State University P.M.B 127 Tudun Wada Gombe Gombe State,+2348035886755
15,Gombe State University of Science and Technology,Kumo,,,
16,Ibrahim Babangida University,Lapai,https://ibbu.edu.ng/,Minna Rd 911101 Lapai,
17,Edusoko University,Niger State,https://edusokouniversity.edu.ng/,P.M.B 45 Edusoko University Bida Niger State Nigeria,+2349023867806
18,Ahman Pategi University,Kwara State ,,K/M 3 PATIGI-KPADA ROAD PATIGI KWARA STATE NIGERIA,(234) 806 977 26115
19,Ignatius Ajuru University of Education (Rivers State University of Education),Port Harcourt,,,
20,Imo State University,Owerri,,,
21,Institute of Management and Technology,Enugu,,,
22,Joseph Ayo Babalola University,Ipo Arakeji and Ikeji-Arakeji,,,
23,Kaduna State University,Kaduna,,,
24,Kano State University of Science and Technology,Wudil,,,
25,Kebbi State University of Science and Technology Aliero,Kebbi,,,
26,Kogi State University,Ayigba,,,
27,Koladaisi University,Ibadan,,,
28,Kwara State University,Malete,,,
29,Koladaisi University Ibadan,Oyo,,,
30,Ladoke Akintola University of Technology,Ogbomoso,,,
31,Lagos Business School,Lagos,,,
32,Lead City University,Ibadan,,,
33,Madonna University (Ihiala),Okija,,,
34,Mewar International University,Nasarawa,,,
35,Michael Okpara Federal University of Agriculture,Umudike,,,
36,Modibbo Adama University of Technology,Yola,,,
37,Michael and Cecilia Ibru University,Delta,,,
38,Mountain Top University,Ogun,,,
39,Nasarawa State University,Keffi,,,
40,National Open University of Nigeria,Lagos,,,
41,Niger Delta University,Bayelsa,,,
42,Nigerian Defence Academy,Kaduna,,,
43,Nnamdi Azikiwe University,Awka,,,
44,Northwest University,Kano,,,
45,Novena University,Delta,,,
46,Obafemi Awolowo University,Ile Ife,,,
47,Obong University Obong Ntak,Akwa Ibom,,,
48,Oduduwa University,Osun,,,
49,Olabisi Onabanjo University,Ogun,,,
50,Ondo State University of Science and Technology,Okitipupa,,,
51,Osun State University,Osogbo,,,
52,Pan-Atlantic University,Lagos,,,
53,Paul University,Anambra,,,
54,Ritman University,Akwa Ibom,,,
55,Rivers State University,Port Harcourt,,,
56,Redeemer's University,Ede,,,
57,Renaissance University,Agbani,,,
58,Rhema University,Abia,,,
59,Salem University,Kogi,,,
60,Samuel Adegboyega University,Edo,,,
61,Skyline University Nigeria,Kano,,,
62,Sokoto State University,Sokoto,,,
63,Sule Lamido University,Jigawa,,,
64,Tai Solarin University of Education,Ogun,,,
65,The University on Idemili,Anambra,,,
66,University of Abuja,Gwagwalada,,,
67,University of Ado Ekiti,Ado Ekiti,,,
68,University of Agriculture,Abeokuta,,,
69,University of Africa(Toru-Orua),Bayelsa,,,
70,University of Agriculture,Benue,,,
71,University of Ibadan,Ibadan,,,
72,University of Ilorin,Ilorin,,,
73,University of Jos,Jos,,,
74,University of Maiduguri,Maiduguri,,,
75,University of Mkar,Benue,,,
76,University of Uyo,Uyo,,,
77,Usman Dan Fodio University,Sokoto,,,
78,Wesley University,Ondo,,,
79,Western Delta University,Delta,,,
80,Yaba College of Technology,Yaba,,,
81,Bauchi State University,Gadau,,,
82,Abubakar Tatari Ali Polytechnic,Bauchi,,,
83,Nigerian Army University Biu (NAUB) Ajasin University,Ondo,,,
,,,,,
,,,,,
